time,data values
2023-09-11T15:55:21.057Z,116
2023-09-11T15:55:22.058Z,118
2023-09-11T15:55:23.057Z,119
2023-09-11T15:55:24.058Z,119
2023-09-11T15:55:25.057Z,119
2023-09-11T15:55:26.057Z,119
2023-09-11T15:55:27.058Z,117
2023-09-11T15:55:28.057Z,116
2023-09-11T15:55:29.058Z,116
2023-09-11T15:55:30.058Z,116
2023-09-11T15:55:31.058Z,116
2023-09-11T15:55:32.057Z,117
2023-09-11T15:55:33.058Z,118
2023-09-11T15:55:34.058Z,118
2023-09-11T15:55:35.058Z,118
2023-09-11T15:55:36.057Z,117
2023-09-11T15:55:37.057Z,115
2023-09-11T15:55:38.058Z,114
2023-09-11T15:55:39.058Z,113
2023-09-11T15:55:40.057Z,114
2023-09-11T15:55:41.058Z,115
2023-09-11T15:55:42.058Z,116
2023-09-11T15:55:43.057Z,118
2023-09-11T15:55:44.058Z,119
2023-09-11T15:55:45.058Z,120
2023-09-11T15:55:46.058Z,119
2023-09-11T15:55:47.057Z,118
2023-09-11T15:55:48.057Z,115
2023-09-11T15:55:49.057Z,113
2023-09-11T15:55:50.058Z,113
2023-09-11T15:55:51.058Z,114
2023-09-11T15:55:52.057Z,114
2023-09-11T15:55:53.058Z,117
2023-09-11T15:55:54.058Z,121
2023-09-11T15:55:55.058Z,122
2023-09-11T15:55:56.058Z,122
2023-09-11T15:55:57.058Z,122
2023-09-11T15:55:58.058Z,120
2023-09-11T15:55:59.058Z,119
2023-09-11T15:56:00.057Z,118
2023-09-11T15:56:01.058Z,116
2023-09-11T15:56:02.058Z,116
2023-09-11T15:56:03.058Z,117
2023-09-11T15:56:04.058Z,118
2023-09-11T15:56:05.058Z,120
2023-09-11T15:56:06.058Z,121
2023-09-11T15:56:07.058Z,121
2023-09-11T15:56:08.058Z,121
2023-09-11T15:56:09.058Z,120
2023-09-11T15:56:10.057Z,119
2023-09-11T15:56:11.058Z,115
2023-09-11T15:56:12.058Z,114
2023-09-11T15:56:13.058Z,114
2023-09-11T15:56:14.058Z,115
2023-09-11T15:56:15.058Z,116
2023-09-11T15:56:16.058Z,119
2023-09-11T15:56:17.058Z,120
2023-09-11T15:56:18.058Z,120
2023-09-11T15:56:19.058Z,120
2023-09-11T15:56:20.058Z,119
2023-09-11T15:56:21.058Z,117
2023-09-11T15:56:22.058Z,116
2023-09-11T15:56:23.058Z,117
2023-09-11T15:56:24.058Z,118
2023-09-11T15:56:25.058Z,121
2023-09-11T15:56:26.058Z,123
2023-09-11T15:56:27.058Z,124
2023-09-11T15:56:28.058Z,124
2023-09-11T15:56:29.058Z,124
2023-09-11T15:56:30.059Z,124
2023-09-11T15:56:31.058Z,123
2023-09-11T15:56:32.058Z,122
2023-09-11T15:56:33.058Z,122
2023-09-11T15:56:34.058Z,120
2023-09-11T15:56:35.058Z,117
2023-09-11T15:56:36.058Z,117
2023-09-11T15:56:37.058Z,118
2023-09-11T15:56:38.059Z,119
2023-09-11T15:56:39.059Z,119
2023-09-11T15:56:40.059Z,119
2023-09-11T15:56:41.058Z,119
2023-09-11T15:56:42.058Z,118
2023-09-11T15:56:43.058Z,115
2023-09-11T15:56:44.058Z,112
2023-09-11T15:56:45.059Z,110
2023-09-11T15:56:46.059Z,110
2023-09-11T15:56:47.059Z,110
2023-09-11T15:56:48.059Z,112
2023-09-11T15:56:49.059Z,116
2023-09-11T15:56:50.059Z,119
2023-09-11T15:56:51.059Z,119
2023-09-11T15:56:52.058Z,120
2023-09-11T15:56:53.058Z,119
2023-09-11T15:56:54.059Z,118
2023-09-11T15:56:55.059Z,115
2023-09-11T15:56:56.059Z,113
2023-09-11T15:56:57.058Z,112
2023-09-11T15:56:58.059Z,111
2023-09-11T15:56:59.058Z,112
2023-09-11T15:57:00.059Z,115
2023-09-11T15:57:01.058Z,117
2023-09-11T15:57:02.059Z,118
2023-09-11T15:57:03.059Z,119
2023-09-11T15:57:04.059Z,119
2023-09-11T15:57:05.059Z,116
2023-09-11T15:57:06.059Z,112
2023-09-11T15:57:07.059Z,111
2023-09-11T15:57:08.059Z,112
2023-09-11T15:57:09.059Z,112
2023-09-11T15:57:10.059Z,113
2023-09-11T15:57:11.059Z,114
2023-09-11T15:57:12.059Z,116
2023-09-11T15:57:13.059Z,116
2023-09-11T15:57:14.059Z,116
2023-09-11T15:57:15.059Z,116
2023-09-11T15:57:16.059Z,115
2023-09-11T15:57:17.059Z,115
2023-09-11T15:57:18.059Z,115
2023-09-11T15:57:19.059Z,116
2023-09-11T15:57:20.060Z,117
2023-09-11T15:57:21.059Z,118
2023-09-11T15:57:22.059Z,118
2023-09-11T15:57:23.059Z,118
2023-09-11T15:57:24.059Z,118
2023-09-11T15:57:25.059Z,118
2023-09-11T15:57:26.059Z,113
2023-09-11T15:57:27.059Z,112
2023-09-11T15:57:28.059Z,112
2023-09-11T15:57:29.059Z,112
2023-09-11T15:57:30.059Z,114
2023-09-11T15:57:31.059Z,117
2023-09-11T15:57:32.059Z,118
2023-09-11T15:57:33.060Z,119
2023-09-11T15:57:34.059Z,118
2023-09-11T15:57:35.059Z,117
2023-09-11T15:57:36.060Z,116
2023-09-11T15:57:37.060Z,115
2023-09-11T15:57:38.060Z,113
